"","region","total_population","percent_white","percent_black","percent_asian","percent_hispanic","per_capita_income","median_rent","median_age"
"10494","32531",5472,93,3,0,2,27274,643,41.4
"10495","32533",27434,81,11,1,4,24970,659,41
"10496","32534",14199,64,27,1,3,21801,681,40
"10497","32535",6015,59,35,1,2,13066,373,37.8
"10498","32536",20663,71,14,2,7,24551,817,32.6
"10499","32539",25243,77,12,2,4,21687,752,35.6
"10500","32541",16158,84,1,2,8,38204,1058,40
"10501","32542",3245,73,8,1,13,15541,1238,21.7
"10502","32544",1717,85,6,3,5,24765,1250,21.1
"10503","32547",34365,67,11,5,12,25692,752,35
"10504","32548",19868,67,17,3,9,27368,796,39.6
"10505","32550",6092,90,0,4,2,48446,993,55.2
"10506","32561",8843,94,1,1,3,51583,1032,46
"10507","32563",23985,91,1,2,4,31504,915,42.8
"10508","32564",2807,95,0,0,1,24208,512,44.2
"10509","32565",5530,94,2,0,2,22677,393,44.1
"10510","32566",35373,80,7,2,7,29432,975,35.7
"10511","32567",3285,85,7,0,3,20679,592,49.1
"10512","32568",2981,79,8,0,1,22369,791,45.1
"10513","32569",10869,75,6,4,9,32825,851,44.6
"10514","32570",28021,82,8,2,3,22676,658,39.3
"10515","32571",30346,86,2,3,5,26520,746,38.4
"10516","32577",4487,82,10,0,4,24473,545,46
"10517","32578",30428,85,4,3,5,34747,892,42.8
"10518","32579",10160,82,6,4,6,34793,827,45.2
"10519","32580",4244,79,3,4,5,28673,839,32.5
"10520","32583",25870,78,10,2,5,21649,707,39.3
"10521","32601",19360,64,19,4,10,16027,664,24
"10522","32603",8714,64,6,11,15,9234,597,21.3
"10523","32605",22701,75,9,5,8,38542,867,38.9
"10524","32606",23244,67,10,11,9,29447,907,36.8
"10525","32607",30504,60,22,4,12,23872,710,24.4
"10526","32608",43916,59,15,11,11,27445,744,27.4
"10527","32609",17768,46,44,2,5,17401,593,35.9
"10528","32612",6564,64,11,6,15,1524,NA,19.1
"10529","32615",14997,74,13,1,8,28621,758,43.5
"10530","32616",430,43,36,0,12,12226,835,50.5
"10531","32617",4351,78,7,1,12,21505,490,46.5
"10532","32618",7648,80,11,0,7,24779,538,45.2
"10533","32619",4566,95,1,0,4,25233,533,44.2
"10534","32621",5697,71,12,1,12,14085,295,42.1
"10535","32622",1272,82,8,0,8,22760,422,44
"10536","32625",1671,91,0,1,7,20025,722,47.2
"10537","32626",8440,85,11,0,3,19536,473,46.9
"10538","32628",5415,73,20,0,5,15557,399,37.9
"10539","32631",275,100,0,0,0,27600,NA,64.3
"10540","32639",50,100,0,0,0,21166,NA,64.2
"10541","32640",11102,79,18,0,1,19201,535,47.2
"10542","32641",12691,20,75,1,1,13599,573,34.9
"10543","32643",10443,84,13,0,3,23725,696,42.5
"10544","32648",337,94,0,0,0,18531,NA,52.5
"10545","32653",14122,71,13,6,7,36104,775,42.9
"10546","32656",13565,91,3,1,4,22362,698,46.1
"10547","32658",182,59,25,0,14,18238,606,50.6
"10548","32664",373,90,7,0,2,30436,533,61.7
"10549","32666",6527,84,14,0,1,25207,432,50.1
"10550","32667",3546,75,16,1,4,33877,684,55.1
"10551","32668",4799,86,1,0,13,21661,620,45.4
"10552","32669",11190,74,15,2,6,26696,773,39.2
"10553","32680",9765,92,3,1,1,17190,440,48.4
"10554","32681",138,100,0,0,0,13893,NA,47.2
"10555","32683",337,64,9,0,26,13575,NA,45.9
"10556","32686",6106,56,35,1,6,17562,536,38.6
"10557","32692",263,100,0,0,0,32818,NA,69.2
"10558","32693",12770,83,7,1,6,17424,574,36.2
"10559","32694",2766,81,10,1,8,19142,663,33.2
"10560","32696",10904,72,19,1,7,20890,582,45.7
"10561","32697",249,75,25,0,0,8125,804,26.4
"10562","32701",21426,61,15,3,18,26638,801,42.7
"10563","32702",2448,93,1,0,4,39101,1406,52.8
"10564","32703",47824,50,18,2,28,22386,773,34.7
"10565","32707",34681,69,6,2,20,25235,819,38.7
"10566","32708",43157,71,5,3,19,31083,938,39.1
"10567","32709",2271,90,0,0,10,19113,722,42.8
"10568","32712",42401,59,13,4,21,27859,870,39.1
"10569","32713",19506,81,5,3,10,26927,909,48.3
"10570","32714",35085,55,12,3,29,26569,834,36.8
"10571","32720",31190,74,13,2,9,21274,663,44.1
"10572","32724",31623,75,8,2,14,22764,774,41.9
"10573","32725",45736,55,8,1,33,19880,867,40.2
"10574","32726",19962,74,14,4,7,21381,702,43.1
"10575","32730",5485,67,9,1,20,25116,683,43.3
"10576","32732",3799,86,3,2,7,26439,609,50.3
"10577","32735",3384,93,2,0,5,25643,872,50.3
"10578","32736",9617,82,2,1,12,24538,837,44.9
"10579","32738",43347,58,10,0,29,20302,910,36.1
"10580","32744",3333,87,6,1,4,23486,612,47.2
"10581","32746",41032,68,10,6,14,36117,1114,40.6
"10582","32750",23173,74,6,5,14,27056,942,42.7
"10583","32751",20666,77,10,4,8,37416,1037,43
"10584","32754",10156,85,9,0,3,25047,670,48
"10585","32757",23380,69,13,2,13,28457,775,44.8
"10586","32759",2797,87,11,0,0,20092,682,53.2
"10587","32763",21188,77,4,0,17,19227,832,43.9
"10588","32764",3576,90,4,0,6,23259,633,48.1
"10589","32765",58153,68,7,6,17,30010,1081,33.4
"10590","32766",15355,78,4,5,12,30940,1194,37.4
"10591","32767",2799,84,1,0,13,14529,563,42.1
"10592","32771",47609,51,30,3,12,24907,768,35.5
"10593","32773",28698,52,16,3,26,18690,745,35.9
"10594","32776",9902,82,2,1,15,28923,811,41.3
"10595","32778",19468,77,14,2,5,23210,686,51.8
"10596","32779",28555,79,3,5,11,41183,1149,45
"10597","32780",34562,73,14,3,8,25171,666,45.7
"10598","32784",11335,87,3,0,8,19963,534,45.5
"10599","32789",24635,78,7,3,10,51443,860,41.3
"10600","32792",49308,63,9,3,23,23646,840,33.2
"10601","32796",21099,78,14,1,5,22985,657,46.6
"10602","32798",2623,80,0,0,20,21656,745,67.3
"10603","32801",11237,73,9,3,12,40726,911,37.4
"10604","32803",17680,83,2,4,9,40884,897,39.4
"10605","32804",16826,86,4,1,7,42558,923,40.4
"10606","32805",22001,11,78,1,8,14649,567,36.2
"10607","32806",25598,78,5,2,14,32396,827,38.9
"10608","32807",32604,34,11,4,50,17077,766,33.6
"10609","32808",50146,13,70,3,12,14303,699,31.3
"10610","32809",25126,31,15,5,47,18829,740,35.8
"10611","32810",33503,41,32,3,21,21716,836,33.9
"10612","32811",38301,19,58,1,18,15654,793,29.8
"10613","32812",36753,54,7,2,35,25011,808,35.6
"10614","32814",6061,72,6,5,16,59903,1422,33.1
"10615","32817",33015,58,8,5,27,21243,898,28.6
"10616","32818",45957,16,65,4,12,17911,806,33.3
"10617","32819",25461,65,15,5,13,34133,1095,39.1
"10618","32820",8767,56,8,5,27,25629,1388,33
"10619","32821",16355,63,5,8,22,22830,936,35.7
"10620","32822",56111,27,8,2,62,16493,785,32.4
"10621","32824",36515,22,10,7,60,18449,1040,34.6
"10622","32825",59099,37,7,7,47,22333,908,32.6
"10623","32826",29990,58,9,6,25,14890,801,22.1
"10624","32827",6576,48,7,5,36,40104,1326,36.7
"10625","32828",58491,50,7,7,34,27670,1011,30.4
"10626","32829",20542,30,11,10,45,24976,1064,31.3
"10627","32830",7,100,0,0,0,26371,NA,76.8
"10628","32831",2768,44,35,0,18,4068,NA,36.8
"10629","32832",16194,50,6,8,32,29534,1169,31.7
"10630","32833",9014,60,10,4,21,24679,952,36
"10631","32835",43477,46,21,9,18,26833,923,32.7
"10632","32836",17137,56,8,20,13,46469,949,37.9
"10633","32837",53184,37,9,11,39,23371,1091,35.3
"10634","32839",46052,23,38,4,31,16532,749,31
"10635","32901",24700,68,19,3,7,19903,666,45.9
"10636","32903",12954,90,0,2,5,42036,934,48.8
"10637","32904",27160,86,3,2,7,26231,822,44
"10638","32905",22301,67,13,1,16,20569,687,42.7
"10639","32907",41735,67,16,2,13,22428,821,42.3
"10640","32908",11068,60,21,3,13,17395,951,36.2
"10641","32909",30393,62,17,1,16,19553,796,39.5
"10642","32920",9868,89,2,0,6,35506,701,54.2
"10643","32922",14945,47,34,0,15,17447,527,40.4
"10644","32925",1293,51,23,4,16,20126,1105,25
"10645","32926",23047,79,13,1,6,22892,734,43.2
"10646","32927",25480,83,7,1,6,23439,861,41.1
"10647","32931",13958,95,0,1,2,34327,885,53.6
"10648","32934",17723,82,4,5,7,33002,833,48.6
"10649","32935",39920,83,4,1,8,23658,708,44.5
"10650","32937",25312,90,1,2,5,36070,1000,47.5
"10651","32940",33752,75,6,5,10,34874,1069,46.6
"10652","32948",7449,31,5,1,63,13777,553,30.4
"10653","32949",2513,82,8,2,2,35126,NA,55
"10654","32950",3917,87,4,0,6,31976,888,51.6
"10655","32951",11329,89,1,2,8,38862,1153,53.9
"10656","32952",20289,86,4,2,6,36644,786,48.5
"10657","32953",22097,80,7,3,8,28451,734,48.6
"10658","32955",35927,74,11,4,8,31679,814,44.6
"10659","32958",25752,85,7,1,5,24071,815,51.5
"10660","32960",20097,82,5,0,10,21580,654,46.9
"10661","32962",21484,71,15,2,11,23156,751,46.5
"10662","32963",14894,97,0,0,2,86330,1106,65.7
"10663","32966",15510,85,3,1,11,29683,792,60.3
"10664","32967",19901,62,23,2,12,23754,659,40.2
"10665","32968",13812,85,3,1,9,27387,842,42.5
"10666","32970",570,4,96,0,0,9429,NA,33.9
"10667","32976",8804,96,0,0,3,21743,725,66
"10668","33001",211,77,0,0,21,31711,843,64.3
"10669","33004",15570,48,32,1,18,24159,936,41.5
"10670","33009",39889,49,17,1,31,24587,942,47.1
"10671","33010",46108,3,1,0,96,12318,792,43.9
"10672","33012",73805,4,0,0,96,15832,902,44.6
"10673","33013",32382,4,0,0,96,14389,833,44.4
"10674","33014",40517,9,2,1,88,18696,974,40.6
"10675","33015",65038,8,8,2,81,19659,1071,34.6
"10676","33016",48450,7,1,1,91,16569,1016,37.9
"10677","33018",46903,4,1,1,95,18035,1115,39.7
"10678","33019",14195,82,1,1,15,49746,1391,49.8
"10679","33020",41219,43,25,2,26,20543,822,39.8
"10680","33021",47400,55,13,3,28,28419,1013,43
"10681","33023",64849,17,54,3,24,16964,990,35.8
"10682","33024",69630,33,15,3,46,22102,1040,37.5
"10683","33025",57766,14,47,5,32,23660,1209,32.9
"10684","33026",29747,46,12,4,36,33569,1248,43.1
"10685","33027",57479,20,23,6,47,29817,1293,40.4
"10686","33028",27547,25,13,9,49,33616,1675,37.5
"10687","33029",47086,22,21,7,48,30976,1772,36.6
"10688","33030",33500,19,14,1,66,14003,685,30.3
"10689","33031",6411,47,1,2,43,27902,1141,41.6
"10690","33032",37028,12,27,2,58,18009,978,30.8
"10691","33033",51131,16,19,2,62,17177,955,30.9
"10692","33034",26083,22,37,0,40,7505,738,36
"10693","33035",14123,22,24,4,45,22280,1072,32.2
"10694","33036",3849,90,1,0,8,47153,1161,54.9
"10695","33037",12226,68,4,1,26,42077,1051,51.6
"10696","33039",307,0,0,0,100,8321,NA,29.5
"10697","33040",33254,64,10,1,22,29371,1319,41.6
"10698","33042",6339,85,1,1,13,38302,1545,51.2
"10699","33043",4026,82,2,0,15,37096,1083,53.3
"10700","33050",8901,64,6,1,28,29475,965,42.4
"10701","33051",629,91,0,0,8,47580,1639,68.5
"10702","33054",29662,3,67,0,29,12383,662,30.9
"10703","33055",46013,4,30,1,65,15339,980,38.2
"10704","33056",34550,1,82,0,16,15898,942,33
"10705","33060",34330,42,39,1,16,21021,852,37.6
"10706","33062",22329,87,2,1,9,52740,1044,57.4
"10707","33063",52564,50,19,3,26,24230,1087,42.7
"10708","33064",54879,48,27,1,23,24364,950,38.6
"10709","33065",53614,41,27,3,26,21749,1046,35.1
"10710","33066",16200,70,10,3,16,28059,998,57.5
"10711","33067",25288,62,11,6,20,43433,1306,37.8
"10712","33068",50207,19,52,3,24,16194,1033,31.2
"10713","33069",26013,45,37,1,16,21327,1007,43.9
"10714","33070",4739,84,1,0,15,32989,1112,47.2
"10715","33071",38355,57,14,3,25,31046,1223,37.5
"10716","33073",29678,54,11,7,25,27953,1263,34.5
"10717","33076",31107,64,7,9,19,43408,1803,38.2
"10718","33101",0,NA,NA,NA,NA,NA,NA,NA
"10719","33109",508,38,0,3,60,116586,NA,49.4
"10720","33122",0,NA,NA,NA,NA,NA,NA,NA
"10721","33125",53435,2,3,1,94,13406,795,43
"10722","33126",47311,3,0,1,95,16656,905,41
"10723","33127",30131,3,53,0,43,11102,749,33.7
"10724","33128",7458,4,5,0,90,13775,665,40.7
"10725","33129",14198,27,2,2,67,41352,1335,38.9
"10726","33130",24338,8,2,1,89,19126,799,34
"10727","33131",14540,38,4,1,56,60035,1823,31.9
"10728","33132",9976,33,8,3,53,43323,1506,34.8
"10729","33133",33141,36,9,1,53,43926,1096,39.9
"10730","33134",39367,22,1,2,75,36589,1017,45.2
"10731","33135",35470,4,1,1,94,13968,756,44.4
"10732","33136",13248,7,52,2,38,13387,620,33.8
"10733","33137",20221,25,25,2,47,30012,1002,36
"10734","33138",29292,30,42,0,25,26653,801,39.2
"10735","33139",38066,45,3,2,48,47650,1036,38.1
"10736","33140",22197,51,4,4,40,51378,1217,40
"10737","33141",36953,27,3,2,65,28096,924,40.3
"10738","33142",54178,3,40,0,57,11074,687,36.6
"10739","33143",31129,33,10,3,52,46739,999,39.8
"10740","33144",26009,5,0,0,95,16975,943,45.1
"10741","33145",30774,11,1,1,86,22055,1076,44.3
"10742","33146",15383,47,4,3,45,38959,1760,22.7
"10743","33147",43414,2,57,0,40,13152,715,36.4
"10744","33149",12560,40,0,3,57,78948,2001,40.9
"10745","33150",27227,4,72,1,22,12865,628,33.3
"10746","33154",14209,54,2,1,38,45325,1366,42.6
"10747","33155",46977,16,0,1,82,25748,1165,42.1
"10748","33156",32114,44,2,5,48,61505,1160,40.1
"10749","33157",67553,26,26,2,44,24941,809,37.7
"10750","33158",6777,51,2,3,40,50248,2001,43.3
"10751","33160",37674,50,7,1,41,45536,1258,49.6
"10752","33161",54036,11,63,1,24,15097,835,34
"10753","33162",45773,16,52,3,28,15750,884,33.3
"10754","33165",56275,8,0,0,91,19379,1061,45.2
"10755","33166",22899,22,5,2,70,23659,954,38.9
"10756","33167",19766,3,69,1,27,14501,771,34.3
"10757","33168",27990,8,65,1,25,14510,858,35.3
"10758","33169",38545,5,79,1,14,18831,863,33.3
"10759","33170",12034,14,44,0,41,15981,960,33.1
"10760","33172",38958,6,1,1,92,19177,1102,38.3
"10761","33173",35354,17,1,1,80,26598,1195,41.2
"10762","33174",29409,6,3,1,90,16611,1009,41.5
"10763","33175",52348,6,0,1,92,20789,1196,42.8
"10764","33176",51207,27,15,4,54,32269,1069,40.5
"10765","33177",56355,10,12,2,74,18186,1123,38.6
"10766","33178",42701,15,3,5,76,27088,1630,33.8
"10767","33179",41977,26,36,3,34,22869,1004,39.2
"10768","33180",32972,58,5,1,35,44779,1492,43.9
"10769","33181",17665,29,28,4,38,27662,898,35.8
"10770","33182",16264,6,6,1,87,22014,1350,40.6
"10771","33183",37166,10,1,2,87,22768,1169,41.2
"10772","33184",21229,4,0,0,95,20677,1135,42.2
"10773","33185",29029,6,0,1,92,25355,1719,36.1
"10774","33186",71426,24,5,3,66,26041,1277,36
"10775","33187",17159,15,8,2,75,23714,820,39.2
"10776","33189",23110,24,20,1,52,21000,825,35.5
"10777","33190",11878,14,25,3,56,22711,933,29.5
"10778","33193",45852,9,2,3,85,19961,1086,39.3
"10779","33194",7438,12,14,5,67,16178,1707,36.1
"10780","33196",44429,14,8,3,73,23687,1155,35.1
"10781","33301",13536,76,7,1,13,68603,1426,43.2
"10782","33304",18562,58,20,3,17,40343,878,41.9
"10783","33305",12155,83,3,1,11,47364,893,48.6
"10784","33306",3403,86,0,2,10,62013,933,51.4
"10785","33308",26616,85,2,2,10,53897,1089,56
"10786","33309",35279,32,40,2,23,22082,983,37.2
"10787","33311",65304,9,84,1,5,14986,798,35.4
"10788","33312",52915,42,32,1,23,24806,911,38.4
"10789","33313",56934,10,79,1,7,16218,843,34.1
"10790","33314",22150,49,14,5,31,19024,1011,34.8
"10791","33315",12206,65,8,1,24,34284,995,41.1
"10792","33316",10854,80,7,1,11,54371,930,49.7
"10793","33317",35414,45,22,3,27,28536,1092,40.8
"10794","33319",46473,23,54,3,17,22003,945,40.9
"10795","33321",44326,52,17,2,27,25763,1013,47.3
"10796","33322",37226,51,19,4,24,28675,1182,49.7
"10797","33323",19696,50,16,5,26,31952,1370,37.4
"10798","33324",44952,57,11,4,26,34347,1261,39.2
"10799","33325",29796,49,7,5,37,32333,1286,38.9
"10800","33326",32073,46,3,4,46,34293,1495,39.1
"10801","33327",21627,42,3,5,49,46617,1992,37.5
"10802","33328",28789,68,6,5,19,36427,1131,37.9
"10803","33330",13595,54,7,5,32,46243,1648,42
"10804","33331",23769,44,9,6,40,39724,1764,40.4
"10805","33332",11791,49,7,3,40,42313,1953,36.1
"10806","33334",28709,54,16,2,26,28940,927,39.6
"10807","33351",34570,30,38,5,24,22743,1100,34.7
"10808","33401",24979,47,34,2,14,29592,908,41.3
"10809","33403",11726,44,39,1,11,21251,880,37.8
"10810","33404",26909,23,70,2,4,22600,825,40.4
"10811","33405",21058,41,3,0,55,27323,841,37.4
"10812","33406",26057,37,8,3,51,22930,903,35.9
"10813","33407",28165,22,62,0,15,19230,793,34.7
"10814","33408",17578,92,1,1,5,47459,976,53.9
"10815","33409",30467,31,34,2,31,21072,937,33.4
"10816","33410",33249,74,8,3,12,41477,1133,44.1
"10817","33411",64015,56,20,4,17,30163,1094,40.8
"10818","33412",13395,66,14,7,13,49047,1412,46
"10819","33413",14661,39,20,3,34,19992,1032,35.3
"10820","33414",54474,61,14,4,19,33654,1259,38.3
"10821","33415",44429,35,16,2,45,16799,863,35.1
"10822","33417",30642,43,30,1,24,19510,783,44.1
"10823","33418",36588,79,4,3,11,52999,1238,50.4
"10824","33426",20211,65,13,3,16,28577,1202,43.4
"10825","33428",38943,67,9,3,18,28842,1156,40.6
"10826","33430",21359,12,57,0,31,14391,446,33.4
"10827","33431",18026,74,6,3,13,38708,1208,39.5
"10828","33432",18972,80,8,1,9,54603,1189,49.8
"10829","33433",42991,76,4,3,15,37883,1353,49.3
"10830","33434",19728,87,1,2,8,47002,806,60.4
"10831","33435",33336,44,43,2,10,25078,964,43.1
"10832","33436",42616,65,17,4,12,31399,1095,48.2
"10833","33437",36952,80,10,1,8,37441,1129,66.9
"10834","33438",436,50,20,0,29,13492,NA,49.6
"10835","33440",19359,30,16,1,48,16525,571,33.2
"10836","33441",26505,51,32,0,15,24297,912,41.9
"10837","33442",28723,75,6,3,13,28731,1169,52.5
"10838","33444",21377,42,44,1,12,24408,977,37.5
"10839","33445",30135,66,17,3,12,33427,1198,49.3
"10840","33446",22184,88,1,1,9,49082,869,69.2
"10841","33449",10223,67,13,2,18,45671,2001,42.9
"10842","33455",20131,86,4,0,8,40134,719,56.7
"10843","33458",50580,78,3,2,15,38511,1175,40.7
"10844","33460",31330,37,20,1,42,18366,761,34.8
"10845","33461",41250,30,15,1,51,15232,833,32.7
"10846","33462",32180,50,21,2,24,26566,900,39.3
"10847","33463",56864,34,23,4,37,19709,968,34.1
"10848","33467",51606,74,6,3,15,32710,1311,47.5
"10849","33469",13915,90,1,2,5,45806,1005,54.1
"10850","33470",25566,70,12,2,14,29201,1420,40.3
"10851","33471",7443,49,20,0,30,13568,601,39.6
"10852","33472",19627,88,4,2,5,34423,1266,53.1
"10853","33473",6098,68,13,7,10,50911,2001,34.4
"10854","33476",7879,11,63,0,25,11456,399,29.9
"10855","33477",12414,94,1,2,3,70734,1239,65.5
"10856","33478",12370,84,4,1,9,35226,1727,44.8
"10857","33480",9559,96,1,1,3,117439,1183,68.3
"10858","33483",12131,83,9,1,6,66120,1201,54
"10859","33484",24028,82,6,2,9,32873,1099,69.8
"10860","33486",22200,76,5,1,16,39982,1243,41.5
"10861","33487",17412,82,3,2,10,48650,1487,51.7
"10862","33493",5028,16,56,0,26,6024,547,35.5
"10863","33496",22354,80,1,4,11,64715,1502,54.2
"10864","33498",14582,78,2,5,13,47941,2001,45
"10865","33503",64,0,0,70,30,7408,NA,33.7
"10866","33510",26703,55,14,3,26,25285,835,37.2
"10867","33511",51807,54,16,3,23,25802,909,35.3
"10868","33513",11889,70,15,2,10,16783,549,45.4
"10869","33514",1980,58,9,0,32,18069,530,35.7
"10870","33521",517,59,25,0,15,17348,523,53.3
"10871","33523",18455,65,8,0,25,19212,571,39.4
"10872","33525",17728,74,8,2,13,26368,622,46
"10873","33527",15281,55,4,1,39,19945,591,31.9
"10874","33534",14214,48,15,5,30,16275,693,30
"10875","33538",4890,96,1,1,1,21172,503,48.9
"10876","33540",9473,92,1,0,6,22686,688,52.4
"10877","33541",20971,86,2,0,10,21646,716,59.1
"10878","33542",21178,87,4,2,6,20291,658,54.2
"10879","33543",22234,64,9,5,17,29432,1118,36.1
"10880","33544",23914,63,10,6,17,29804,1115,35.5
"10881","33545",13599,55,16,3,21,22823,893,32.2
"10882","33547",21061,83,4,1,10,33756,1300,36.3
"10883","33548",5797,81,7,1,10,39473,715,45.1
"10884","33549",15276,73,6,2,16,32664,667,43.5
"10885","33556",20628,82,3,4,11,42693,1079,42.9
"10886","33558",20550,74,2,6,16,36146,840,40.6
"10887","33559",16952,60,9,6,23,27345,775,34.4
"10888","33563",26297,47,15,0,36,17399,682,32.3
"10889","33565",18477,81,1,2,13,23285,731,43.4
"10890","33566",20488,67,4,2,25,27698,747,35.6
"10891","33567",10787,59,12,0,27,20342,550,35.9
"10892","33569",23894,67,12,3,16,27839,1169,39.3
"10893","33570",21066,53,9,0,36,20392,690,35.3
"10894","33572",15317,80,5,3,11,35973,1162,41.9
"10895","33573",19566,88,4,0,7,30912,1817,73.1
"10896","33576",3845,88,2,1,8,30048,615,61.1
"10897","33578",39691,56,20,3,19,27191,916,32.4
"10898","33579",26188,51,18,4,22,26699,1134,33.6
"10899","33584",25274,62,14,3,17,24126,806,37.3
"10900","33585",1392,85,1,0,13,17316,1086,35.6
"10901","33592",10876,76,11,1,10,22537,643,41.9
"10902","33594",33482,61,11,4,22,27893,1052,38.3
"10903","33596",29771,73,6,4,12,35990,1352,40.8
"10904","33597",7931,85,7,0,7,18355,549,46.2
"10905","33598",13285,43,6,2,48,18358,561,32.9
"10906","33602",11524,60,17,4,17,53397,1355,36.6
"10907","33603",20095,39,21,1,38,21090,685,36.3
"10908","33604",37907,39,23,2,33,18162,677,35.1
"10909","33605",16468,11,62,0,26,14161,632,36
"10910","33606",17690,76,7,2,12,42874,979,29.5
"10911","33607",24289,18,32,2,47,19771,780,35.1
"10912","33609",16963,66,7,5,21,43643,863,39.5
"10913","33610",40469,22,55,3,18,14656,727,31.7
"10914","33611",31187,74,6,4,13,42397,868,40.8
"10915","33612",46167,34,31,3,30,16588,632,32.8
"10916","33613",31066,45,22,5,26,20656,672,30.3
"10917","33614",48125,26,8,4,62,18039,718,35.5
"10918","33615",45317,41,8,3,46,24706,815,38
"10919","33616",13673,57,22,4,14,29971,820,33.1
"10920","33617",43738,40,34,4,20,20213,738,31.7
"10921","33618",24843,66,5,2,24,36966,786,42
"10922","33619",34486,30,36,1,32,15237,837,34.8
"10923","33620",4282,59,11,6,18,1937,NA,19.3
"10924","33621",2130,56,16,0,24,22997,1979,23.1
"10925","33624",38931,57,7,4,29,29228,904,39.7
"10926","33625",25164,52,6,4,35,26034,960,36.6
"10927","33626",27623,69,9,7,13,43444,1171,36.7
"10928","33629",23700,81,4,2,12,56925,932,40.8
"10929","33634",19659,36,10,4,48,24594,878,35.7
"10930","33635",15937,59,7,6,27,28469,900,38.2
"10931","33637",15532,54,23,5,15,22871,828,32
"10932","33647",59375,52,15,11,18,36538,981,32.6
"10933","33701",14168,74,16,1,7,34826,662,47.2
"10934","33702",30219,79,5,6,8,28375,756,44.8
"10935","33703",23571,85,4,2,7,37144,822,44.6
"10936","33704",16752,86,4,2,6,40862,743,43.9
"10937","33705",26400,32,58,2,5,21893,714,40.8
"10938","33706",16030,95,0,2,3,46689,945,53.5
"10939","33707",24718,82,8,3,6,33126,776,52.1
"10940","33708",14910,93,0,1,5,40338,857,57.1
"10941","33709",25210,77,4,7,10,21319,671,48.4
"10942","33710",32494,82,5,3,8,25794,765,44.2
"10943","33711",18910,37,57,1,5,21650,789,38.2
"10944","33712",25353,16,77,1,3,19497,680,37.4
"10945","33713",30668,67,11,8,9,23891,749,40
"10946","33714",19039,71,12,5,10,18153,748,43.6
"10947","33715",6561,93,1,1,4,52413,1316,60.8
"10948","33716",15138,69,16,5,6,31621,864,33.2
"10949","33744",131,85,8,0,7,10892,NA,75.2
"10950","33755",24324,60,25,2,12,19438,743,39.7
"10951","33756",30048,70,10,3,15,24659,688,44.9
"10952","33759",17294,74,6,3,14,26383,914,41.8
"10953","33760",16039,60,11,5,21,22245,744,37
"10954","33761",19000,90,1,2,6,34921,794,52
"10955","33762",7295,71,9,7,12,32450,991,43.6
"10956","33763",19083,75,3,2,19,26989,793,52.7
"10957","33764",25311,85,3,2,8,32374,777,50.2
"10958","33765",13409,72,9,2,14,25269,786,38.6
"10959","33767",8705,91,0,3,4,55972,1156,62.1
"10960","33770",25740,81,5,3,8,28152,739,45.1
"10961","33771",27470,79,5,2,11,23189,784,50.8
"10962","33772",22669,90,2,1,4,28276,855,48.9
"10963","33773",18003,81,4,4,9,27054,790,44.6
"10964","33774",18407,82,9,1,6,27889,859,48.4
"10965","33776",12943,88,1,2,6,30916,1193,47.5
"10966","33777",16835,86,4,2,5,29598,919,46
"10967","33778",14507,77,12,2,6,24523,781,50.7
"10968","33781",25515,74,4,7,13,21151,710,42
"10969","33782",21928,78,3,8,10,26678,909,47
"10970","33785",5570,92,0,2,4,50896,1011,53.9
"10971","33786",1538,95,0,2,3,63440,1756,59.7
"10972","33801",33614,67,14,1,15,16059,590,34
"10973","33803",26976,79,7,0,12,30276,746,42.9
"10974","33805",24060,39,41,2,17,15483,670,34.2
"10975","33809",28934,81,7,2,7,24172,760,44.4
"10976","33810",47995,69,13,2,13,22716,817,40.5
"10977","33811",20011,75,7,0,15,25472,777,39
"10978","33812",13896,71,7,7,14,26701,924,36
"10979","33813",31118,77,4,3,13,33602,849,42.5
"10980","33815",14389,54,25,1,19,13545,516,40.8
"10981","33823",28428,76,10,0,12,18512,574,39.9
"10982","33825",25908,57,20,2,20,16441,504,45.7
"10983","33827",2771,79,8,1,5,21239,808,38.8
"10984","33830",26635,63,22,0,13,19055,568,36.6
"10985","33834",7841,38,15,2,45,10792,482,33
"10986","33837",19842,60,6,2,29,21108,645,41.7
"10987","33838",3611,59,15,1,17,17843,639,44.1
"10988","33839",2880,61,10,1,25,19063,662,34.5
"10989","33841",8819,61,10,1,26,17944,542,40.6
"10990","33843",12726,66,15,0,18,14681,508,42
"10991","33844",34536,41,17,1,39,16549,605,36.8
"10992","33847",212,83,0,0,17,13206,NA,22.2
"10993","33848",1727,82,2,0,16,16528,741,30
"10994","33849",797,75,0,11,7,20739,539,42.1
"10995","33850",7279,62,19,1,17,18329,620,44.1
"10996","33851",863,84,3,0,14,23332,575,34.8
"10997","33852",20050,73,4,0,21,20439,555,52.1
"10998","33853",11044,47,27,0,23,15067,527,34.8
"10999","33854",108,40,0,0,60,23706,NA,55.4
"11000","33855",16,100,0,0,0,NA,NA,NA
"11001","33856",465,90,0,0,10,21613,413,73.2
"11002","33857",1796,89,1,0,10,17063,609,50
"11003","33859",10807,73,15,1,11,20643,712,45.2
"11004","33860",22487,64,7,2,26,19823,742,34.6
"11005","33865",692,85,11,0,4,13007,NA,43.1
"11006","33867",373,74,22,0,0,25970,NA,66.3
"11007","33868",12596,76,15,0,7,20281,692,43.2
