"","region","total_population","percent_white","percent_black","percent_asian","percent_hispanic","per_capita_income","median_rent","median_age"
"254","01350",117,98,0,0,0,23709,700,41.5
"255","01351",2253,88,2,2,0,34353,726,45.5
"256","01354",1532,91,0,0,8,34215,817,47.8
"257","01355",990,97,2,0,0,28963,1214,42.1
"258","01360",3033,95,0,1,3,32021,593,45.5
"259","01364",7960,95,1,2,2,21734,587,40.2
"260","01366",1294,96,0,2,1,33059,683,50.2
"261","01367",590,95,1,0,2,26501,886,43.3
"262","01368",1161,96,0,1,2,27999,770,43.7
"263","01370",4113,97,0,0,0,29074,774,47.9
"264","01373",4441,96,1,1,1,31811,824,46.4
"265","01375",3692,88,1,6,3,28057,1050,26.9
"266","01376",5513,92,1,0,6,24108,590,41.9
"267","01378",639,94,0,3,3,33914,917,55.4
"268","01379",957,89,6,1,1,27732,835,50.3
"269","01420",40358,68,4,4,22,22620,685,34.7
"270","01430",6119,94,1,0,3,34454,1006,42.4
"271","01431",3114,97,1,1,2,33228,1156,44.8
"272","01432",7061,88,3,2,4,34502,899,43.3
"273","01434",1702,63,17,1,14,14154,NA,39.6
"274","01436",3838,99,0,0,1,27831,773,42.4
"275","01438",359,100,0,0,0,24617,NA,51.9
"276","01440",20388,86,2,2,8,23297,656,40.7
"277","01450",10842,94,1,2,2,48248,1016,43.6
"278","01451",4964,88,3,4,3,60872,1317,46.8
"279","01452",4398,98,0,1,0,33730,798,44.6
"280","01453",41002,76,5,3,13,29382,784,41.2
"281","01460",9038,92,0,5,1,47502,892,44.1
"282","01462",10549,93,1,2,3,35866,921,44.2
"283","01463",11645,95,0,1,2,35689,1004,43.1
"284","01464",7435,73,7,2,13,24469,994,39
"285","01467",398,99,0,0,0,57529,NA,42.3
"286","01468",3710,98,0,1,0,28094,1298,44
"287","01469",7044,96,0,2,2,34037,707,40.4
"288","01473",7320,96,1,0,1,34860,1003,43.6
"289","01474",1993,96,0,3,0,37146,795,44.6
"290","01475",10386,91,1,3,3,27204,626,44.3
"291","01501",16089,94,1,0,3,34644,821,44
"292","01503",2886,94,1,2,3,44297,1013,45.5
"293","01504",9035,93,1,1,4,32488,757,40.6
"294","01505",4366,90,1,4,3,53378,536,44.7
"295","01506",3382,98,0,0,0,29391,555,43.5
"296","01507",13034,96,1,0,2,35678,761,42.2
"297","01510",13634,83,1,2,10,31765,820,41.3
"298","01515",2253,95,1,0,1,30172,936,42.7
"299","01516",8575,97,0,0,1,36503,868,39.8
"300","01518",2689,96,0,0,0,33795,370,42.6
"301","01519",6514,95,0,3,0,44302,854,39.1
"302","01520",14354,93,0,4,2,41173,910,42.3
"303","01521",2442,94,2,0,2,32734,692,43.6
"304","01522",3145,96,2,0,1,38120,720,41.3
"305","01523",7680,85,6,0,7,28387,846,39.2
"306","01524",6940,93,1,2,4,29142,513,39.3
"307","01525",145,100,0,0,0,33626,NA,32.7
"308","01527",13264,93,1,1,4,32329,823,43
"309","01529",3197,94,2,1,2,29546,895,38.2
"310","01531",1053,97,1,0,2,30961,767,40.9
"311","01532",14529,84,2,9,4,43878,1085,41.5
"312","01534",5299,95,1,1,2,36653,568,39
"313","01535",4706,95,1,0,1,27452,687,42.1
"314","01536",7042,84,1,6,4,37846,931,40.3
"315","01537",2458,89,0,2,7,30326,728,40
"316","01540",11148,94,0,0,4,29658,672,40.3
"317","01541",3424,93,0,2,5,42921,841,43.8
"318","01542",1782,94,1,1,2,31085,794,45.4
"319","01543",8075,93,2,2,2,33229,749,40.3
"320","01545",35575,76,2,16,3,40098,1044,39.2
"321","01550",16741,61,1,3,32,21579,718,37.5
"322","01560",4531,67,2,23,6,35305,848,32.8
"323","01561",174,66,24,5,3,15914,NA,22.7
"324","01562",11733,93,1,0,5,28983,695,39.1
"325","01564",7839,95,1,1,2,40536,1043,44.2
"326","01566",6617,93,0,2,4,37893,926,43.2
"327","01568",7431,94,0,1,1,42387,870,41.2
"328","01569",13559,97,0,1,1,35249,933,40.9
"329","01570",16782,86,3,2,5,26411,717,41.4
"330","01571",11445,91,2,1,3,28240,737,37.2
"331","01581",18371,72,2,18,6,45929,1244,40.4
"332","01583",7698,88,5,0,5,30780,834,38.9
"333","01585",4646,94,2,2,0,31262,844,45.7
"334","01588",10350,94,0,1,2,29244,822,39.2
"335","01590",8943,99,0,1,0,42341,758,41.7
"336","01602",23707,73,9,5,11,31101,930,40
"337","01603",19385,58,7,9,24,22315,710,36.1
"338","01604",34720,65,11,7,15,27119,853,35.9
"339","01605",27279,46,14,6,32,21639,748,32.3
"340","01606",19495,75,13,3,7,32781,836,39.5
"341","01607",8957,59,15,5,19,24044,809,34.4
"342","01608",3558,26,11,1,48,11315,628,27.2
"343","01609",21178,67,10,5,15,23846,767,26.9
